"Parcel ID","Address","Vacant","Code Violations - Count - In the last 12 months","Owners"
"10-1-15","279 GRAND ST - 279 Grand St","","Yes","1"
"10-1-18","271 GRAND ST - 271 Grand St","","Yes","2"
"10-1-24","364 LIBERTY ST - 364 Liberty St","","Yes","2"
"10-1-29","372 LIBERTY ST - 372 Liberty St","","Yes","1"
"10-1-31","374 LIBERTY ST - 374 Liberty St","","Yes","2"
"10-1-36","380 LIBERTY ST - 380 Liberty St","","Yes","1"
"10-1-37","382 LIBERTY ST - 382 Liberty St","","Yes","1"
"10-2-20.2","70 CLINTON ST - 70 Clinton St","","Yes","5"
"10-2-25","286 GRAND ST - 286 Grand St","","Yes","2"
"10-2-26","288 GRAND ST - 288 Grand St","","Yes","2"
"10-2-34","318 GRAND ST - 318 Grand St","","Yes","1"
"11-1-11","201 N MILLER ST - 201 N Miller St","","Yes","3"
"11-1-15","193 N MILLER ST & 192 DUBOIS - 193 N Miller St & 192 Dubois","","Yes","2"
"11-1-17","189 N MILLER ST - 189 N Miller St","","Yes","3"
"11-1-2","221 N MILLER ST - 221 N Miller St","","Yes","1"
"11-1-5","215 N MILLER ST - 215 N Miller St","","Yes","1"
"11-1-7","211 N MILLER ST - 211 N Miller St","","Yes","1"
"11-1-8","209 N MILLER ST - 209 N Miller St","","Yes","2"
"11-2-11","194 LANDER ST - 194 Lander St","","Yes","1"
"11-2-21","198 SOUTH ST - 198 South St","","Yes","3"
"11-3-16","152 SOUTH ST - 152 South St","","Yes","1"
"11-3-2.2","25 GIDNEY AVE - 25 Gidney Ave","","Yes","3"
"11-3-5","197 CHAMBERS ST - 197 Chambers St","","Yes","2"
"11-4-10","383 LIBERTY ST - 383 Liberty St","","Yes","5"
"11-4-20","361 LIBERTY ST - 361 Liberty St","","Yes","1"
"11-4-22","357 LIBERTY ST - 357 Liberty St","","Yes","1"
"11-4-26","347 LIBERTY ST - 347 Liberty St","","Yes","5"
"11-4-28","343 LIBERTY ST - 343 Liberty St","","Yes","1"
"11-4-3","411 LIBERTY ST - 411 Liberty St","","Yes","6"
"11-4-31","333 LIBERTY ST - 333 Liberty St","","Yes","2"
"11-4-32","327 LIBERTY ST - 327 Liberty St","","Yes","1"
"11-5-15","134 SOUTH ST - 134 South St","","Yes","1"
"11-5-2","9 GIDNEY AVE - 9 Gidney Ave","","Yes","1"
"11-5-24","194 CHAMBERS ST - 194 Chambers St","","Yes","1"
"11-5-8","315 LIBERTY ST - 315 Liberty St","","Yes","1"
"11-5-9","311 LIBERTY ST - 311 Liberty St","","Yes","3"
"1-2-1","1-2 WILLIAMSBURG DR - 1-2 Williamsburg Dr","","Yes","1"
"12-1-1","269 GRAND ST - 269 Grand St","","Yes","1"
"12-1-11","243 GRAND ST - 243 Grand St","","Yes","1"
"12-1-14","326 LIBERTY ST - 326 Liberty St","","Yes","1"
"1-2-12","23-24 WILLIAMSBURG DR - 23-24 Williamsburg Dr","","Yes","1"
"12-1-4","263 GRAND ST - 263 Grand St","","Yes","2"
"1-2-18","35-36 WILLIAMSBURG DR - 35-36 Williamsburg Dr","","Yes","2"
"12-2-14","228 A GRAND ST - 228 A Grand St","","Yes","1"
"12-3-11","180 MONTGOMERY ST - 180 Montgomery St","","Yes","2"
"1-2-5","9-10 WILLIAMSBURG DR - 9-10 Williamsburg Dr","","Yes","1"
"13-3-15","2 VAN CLEFT AVE - 2 Van Cleft Ave","","Yes","1"
"13-3-18","10 VAN CLEFT AVE - 10 Van Cleft Ave","","Yes","9"
"14-1-22","34 HAWTHORNE AVE - 34 Hawthorne Ave","","Yes","4"
"14-3-70.12","2 MONROE ST - 2 Monroe St","","Yes","8"
"14-3-9.1","545 SOUTH ST - 545 South St","","Yes","2"
"15-1-12","11 RICHMAN AVE - 11 Richman Ave","","Yes","3"
"15-2-4","451 SOUTH ST - 451 South St","","Yes","2"
"15-5-3","173 FULLERTON AVE - 173 Fullerton Ave","","Yes","1"
"15-6-8","119 FULLERTON AVE - 119 Fullerton Ave","","Yes","2"
"16-3-4","173 PROSPECT ST - 173 Prospect St","","Yes","2"
"16-5-4","35 BUSH AVE - 35 Bush Ave","","Yes","7"
"17-4-2","185 GIDNEY AVE - 185 Gidney Ave","","Yes","3"
"17-8-2","95 GIDNEY AVE - 95 Gidney Ave","","Yes","3"
"17-8-27","230 CITY TER - 230 City Ter","","Yes","1"
"18-10-12","112 JOHNSTON ST - 112 Johnston St","","Yes","3"
"18-10-13","114 JOHNSTON ST - 114 Johnston St","","Yes","10"
"18-10-14","116 JOHNSTON ST - 116 Johnston St","","Yes","6"
"18-10-7","146 THIRD ST - 146 Third St","","Yes","1"
"18-10-8","150 THIRD ST - 150 Third St","","Yes","3"
"18-10-9","152 THIRD ST - 152 Third St","","Yes","3"
"18-11-17","111 JOHNSTON ST - 111 Johnston St","","Yes","3"
"18-11-18","109 JOHNSTON ST - 109 Johnston St","","Yes","2"
"18-1-14","145 N MILLER ST - 145 N Miller St","","Yes","1"
"18-1-23","118 DUBOIS ST - 118 Dubois St","","Yes","2"
"18-2-12","145 JOHNSTON ST - 145 Johnston St","","Yes","8"
"18-2-19","131 JOHNSTON ST - 131 Johnston St","","Yes","1"
"18-2-20","129 JOHNSTON ST - 129 Johnston St","","Yes","5"
"18-2-21","127 JOHNSTON ST - 127 Johnston St","","Yes","3"
"18-2-22","125 JOHNSTON ST - 125 Johnston St","","Yes","4"
"18-3-31","42 FARRINGTON ST - 42 Farrington St","","Yes","3"
"18-3-41","144 JOHNSTON ST - 144 Johnston St","","Yes","3"
"18-3-44","150 JOHNSTON ST - 150 Johnston St","","Yes","2"
"18-3-45","152 JOHNSTON ST - 152 Johnston St","","Yes","3"
"18-3-46","154 JOHNSTON ST - 154 Johnston St","","Yes","5"
"18-4-10","157 CHAMBERS ST - 157 Chambers St","","Yes","1"
"18-4-17","145 CHAMBERS ST - 145 Chambers St","","Yes","1"
"18-4-18","143 CHAMBERS ST - 143 Chambers St","","Yes","3"
"18-4-19","141 CHAMBERS ST - 141 Chambers St","","Yes","1"
"18-4-25","129 CHAMBERS ST - 129 Chambers St","","Yes","3"
"18-4-26","127 CHAMBERS ST - 127 Chambers St","","Yes","1"
"18-4-33","131 LANDER ST - 131 Lander St","","Yes","2"
"18-4-4","169 CHAMBERS ST - 169 Chambers St","","Yes","2"
"18-4-5","167 CHAMBERS ST - 167 Chambers St","","Yes","2"
"18-4-7","163 CHAMBERS ST - 163 Chambers St","","Yes","4"
"18-5-10","271 LIBERTY ST - 271 Liberty St","","Yes","2"
"18-5-11","269 LIBERTY ST - 269 Liberty St","","Yes","2"
"18-5-14","263 LIBERTY ST - 263 Liberty St","","Yes","1"
"18-5-19","10 FARRINGTON ST - 10 Farrington St","","Yes","1"
"18-5-2","299 LIBERTY ST - 299 Liberty St","","Yes","1"
"18-5-21","14 FARRINGTON ST - 14 Farrington St","","Yes","1"
"18-5-22","16 FARRINGTON ST - 16 Farrington St","","Yes","1"
"18-6-24","250 LIBERTY ST - 250 Liberty St","","Yes","4"
"18-6-26","254 LIBERTY ST - 254 Liberty St","","Yes","1"
"18-6-38","282 LIBERTY ST - 282 Liberty St","","Yes","2"
"18-6-4","115 SOUTH ST - 115 South St","","Yes","1"
"18-7-7","145 GRAND ST - 145 Grand St","","Yes","4"
"18-8-1.1","257 LIBERTY ST - 257 Liberty St","","Yes","1"
"18-8-2","245 LIBERTY ST - 245 Liberty St","","Yes","1"
"18-9-12.11","128 THIRD ST - 128 Third St","","Yes","1"
"18-9-2","25 FARRINGTON ST - 25 Farrington St","","Yes","2"
"18-9-22","117 LANDER ST - 117 Lander St","","Yes","2"
"18-9-23","119 LANDER ST - 119 Lander St","","Yes","2"
"18-9-24","121 LANDER ST - 121 Lander St","","Yes","2"
"18-9-9","111 CHAMBERS ST - 111 Chambers St","","Yes","8"
"2-10-15","15 FLEMMING DR - 15 Flemming Dr","","Yes","2"
"2-10-27","26 SHERMAN DR - 26 Sherman Dr","","Yes","2"
"21-1-26","70 FULLERTON AVE - 70 Fullerton Ave","","Yes","5"
"22-1-22","85 CARPENTER AVE - 85 Carpenter Ave","","Yes","6"
"22-1-27","74 CARTER ST - 74 Carter St","","Yes","2"
"22-1-3","287 THIRD ST - 287 Third St","","Yes","1"
"22-2-11","221 THIRD ST - 221 Third St","","Yes","1"
"22-2-15","213 THIRD ST - 213 Third St","","Yes","1"
"22-3-15","84 CITY TER - 84 City Ter","","Yes","1"
"22-3-17","90 CITY TER - 90 City Ter","","Yes","1"
"22-5-25","244 FIRST ST - 244 First St","","Yes","1"
"22-5-32","258 FIRST ST - 258 First St","","Yes","6"
"22-5-33","260 FIRST ST - 260 First St","","Yes","2"
"22-6-30","292 FIRST ST - 292 First St","","Yes","2"
"23-2-11","78 LANDER ST - 78 Lander St","","Yes","2"
"23-2-12","76 LANDER ST - 76 Lander St","","Yes","2"
"23-2-14","64 CAMPBELL ST - 64 Campbell St","","Yes","3"
"23-2-15","66 CAMPBELL ST - 66 Campbell St","","Yes","2"
"23-2-17","82 JOHNSTON ST - 82 Johnston St","","Yes","4"
"23-2-18","84 JOHNSTON ST - 84 Johnston St","","Yes","4"
"23-2-5","90 LANDER ST - 90 Lander St","","Yes","2"
"23-2-7","86 LANDER ST - 86 Lander St","","Yes","1"
"23-3-14","77 CHAMBERS ST - 77 Chambers St","","Yes","1"
"23-3-19","85 LANDER ST - 85 Lander St","","Yes","2"
"23-3-6","129 THIRD ST - 129 Third St","","Yes","1"
"23-3-8","93 CHAMBERS ST - 93 Chambers St","","Yes","1"
"23-4-5","233 LIBERTY ST - 233 Liberty St","","Yes","1"
"23-5-3","205 LIBERTY ST - 205 Liberty St","","Yes","1"
"23-5-4","203 LIBERTY ST - 203 Liberty St","","Yes","1"
"23-6-11","49 LANDER ST - 49 Lander St","","Yes","7"
"23-6-14","55 LANDER ST - 55 Lander St","","Yes","2"
"23-6-15","57 LANDER ST - 57 Lander St","","Yes","1"
"23-6-16.1","59 LANDER ST - 59 Lander St","","Yes","6"
"23-6-18","63 LANDER ST - 63 Lander St","","Yes","2"
"23-6-22.1","71 LANDER ST - 71 Lander St","","Yes","1"
"23-7-22","68 JOHNSTON ST - 68 Johnston St","","Yes","4"
"23-7-23","70 JOHNSTON ST - 70 Johnston St","","Yes","3"
"23-7-24","72 JOHNSTON ST - 72 Johnston St","","Yes","4"
"23-7-5","74 LANDER ST - 74 Lander St","","Yes","3"
"23-7-6","72 LANDER ST - 72 Lander St","","Yes","3"
"23-7-9","66 LANDER ST - 66 Lander St","","Yes","3"
"25-1-51","84 MAPLE ST - 84 Maple St","","Yes","3"
"25-2-34","46 POPLAR ST - 46 Poplar St","","Yes","2"
"25-4-18","11 MAPLE ST - 11 Maple St","","Yes","3"
"25-4-36.1","730 BROADWAY - 730 Broadway","","Yes","3"
"25-4-42","750 BROADWAY - 750 Broadway","","Yes","1"
"25-7-19","10 MCDOWELL PL - 10 Mcdowell Pl","","Yes","1"
"26-1-25","109 DUPONT AVE - 109 Dupont Ave","","Yes","2"
"26-3-67","133 ORCHARD ST - 133 Orchard St","","Yes","1"
"26-6-4","75 GROVE ST - 75 Grove St","","Yes","3"
"26-6-8","59 GROVE ST - 59 Grove St","","Yes","2"
"28-1-19","373 FIRST ST - 373 First St","","Yes","2"
"28-3-24","370 BROADWAY - 370 Broadway","","Yes","2"
"29-10-2","242 BROADWAY - 242 Broadway","","Yes","2"
"29-1-7","289 FIRST ST - 289 First St","","Yes","3"
"29-1-8","287 FIRST ST - 287 First St","","Yes","9"
"29-2-18","70 VAN NESS ST - 70 Van Ness St","","Yes","1"
"29-2-19","72 VAN NESS ST - 72 Van Ness St","","Yes","2"
"29-2-4","273 FIRST ST - 273 First St","","Yes","6"
"29-3-17","31 LUTHERAN ST - 31 Lutheran St","","Yes","3"
"29-3-20","25 LUTHERAN ST - 25 Lutheran St","","Yes","4"
"29-3-8","247 FIRST ST - 247 First St","","Yes","2"
"29-3-9","245 FIRST ST - 245 First St","","Yes","2"
"29-4-17","31 CITY TER - 31 City Ter","","Yes","2"
"29-4-19","27 CITY TER - 27 City Ter","","Yes","2"
"29-4-20","25 CITY TER - 25 City Ter","","Yes","5"
"29-4-27","32 LUTHERAN ST - 32 Lutheran St","","Yes","4"
"29-4-32","42 LUTHERAN ST - 42 Lutheran St","","Yes","1"
"29-5-25","10 VAN NESS ST - 10 Van Ness St","","Yes","1"
"29-5-26","12 VAN NESS ST - 12 Van Ness St","","Yes","1"
"29-5-30","28 CITY TERR - 28 City Terr","","Yes","1"
"29-7-6","196 BROADWAY - 196 Broadway","","Yes","1"
"29-8-2","17 CITY TER - 17 City Ter","","Yes","2"
"29-9-8","11 LUTHERAN ST - 11 Lutheran St","","Yes","1"
"30-1-10","39 S MILLER ST - 39 S Miller St","","Yes","2"
"30-1-17","25 S MILLER ST - 25 S Miller St","","Yes","1"
"30-1-23","13 S MILLER ST - 13 S Miller St","","Yes","1"
"30-1-24","11 S MILLER ST - 11 S Miller St","","Yes","1"
"30-1-25","9 S MILLER ST - 9 S Miller St","","Yes","1"
"30-1-50","52 DUBOIS ST - 52 Dubois St","","Yes","5"
"30-2-13","33 JOHNSTON ST - 33 Johnston St","","Yes","4"
"30-2-20","19 JOHNSTON ST - 19 Johnston St","","Yes","4"
"30-2-8","47 JOHNSTON ST - 47 Johnston St","","Yes","2"
"30-3-13","36 LANDER ST - 36 Lander St","","Yes","1"
"30-3-20","18 LANDER ST - 18 Lander St","","Yes","1"
"30-3-5","52 LANDER ST - 52 Lander St","","Yes","1"
"30-4-1","47 LANDER ST - 47 Lander St","","Yes","3"
"30-4-27","126 BROADWAY - 126 Broadway","","Yes","1"
"30-4-33","33 LANDER ST - 33 Lander St","","Yes","1"
"30-5-1","56 CHAMBERS ST - 56 Chambers St","","Yes","2"
"30-5-19","157 LIBERTY ST - 157 Liberty St","","Yes","1"
"30-5-44","52 CHAMBERS ST - 52 Chambers St","","Yes","2"
"30-5-5","185 LIBERTY ST - 185 Liberty St","","Yes","5"
"3-10-10","4 HAMPTON PL - 4 Hampton Pl","","Yes","1"
"31-1-23","184 LIBERTY ST - 184 Liberty St","","Yes","4"
"3-12-13","220 NORTH ST - 220 North St","","Yes","1"
"31-2-13.2","54 GRAND ST - 54 Grand St","","Yes","1"
"31-2-18","48 GRAND ST - 48 Grand St","","Yes","1"
"32-1-16.11","250 LITTLE BRITAIN RD - 250 Little Britain Rd","","Yes","2"
"3-4-10","116 NORTH ST - 116 North St","","Yes","3"
"34-2-19","315 BROADWAY - 315 Broadway","","Yes","1"
"34-2-5","371 BROADWAY - 371 Broadway","","Yes","1"
"34-3-27","334 WASHINGTON ST - 334 Washington St","","Yes","3"
"34-3-39","364 WASHINGTON ST - 364 Washington St","","Yes","1"
"35-3-14","16 WILLIAM ST - 16 William St","","Yes","2"
"35-3-17.1","26 WILLIAM ST - 26 William St","","Yes","2"
"36-1-4.1","181 BROADWAY - 181 Broadway","","Yes","2"
"36-2-1","175 BROADWAY - 175 Broadway","","Yes","2"
"36-5-10","156 WASHINGTON ST - 156 Washington St","","Yes","1"
"36-5-9","15 S JOHNSTON ST - 15 S Johnston St","","Yes","2"
"36-6-10","17 WILLIAM ST - 17 William St","","Yes","4"
"36-6-4","178 WASHINGTON ST - 178 Washington St","","Yes","1"
"36-6-8","21 WILLIAM ST - 21 William St","","Yes","1"
"36-6-9","19 WILLIAM ST - 19 William St","","Yes","5"
"37-7-18","6 GRAND ST - 6 Grand St","","Yes","1"
"38-2-32","38 WILLIAM ST - 38 William St","","Yes","4"
"38-3-24","117 W PARMENTER ST - 117 W Parmenter St","","Yes","5"
"38-4-2","71 HASBROUCK ST - 71 Hasbrouck St","","Yes","2"
"38-4-25","19 HASBROUCK ST - 19 Hasbrouck St","","Yes","1"
"38-4-53","230 S WILLIAM ST - 230 S William St","","Yes","1"
"38-4-59.1","242 S WILLIAM ST - 242 S William St","","Yes","3"
"38-4-68","75 MILL ST - 75 Mill St","","Yes","6"
"39-2-11","143 WASHINGTON ST - 143 Washington St","","Yes","3"
"3-9-29","334 ROBINSON AVE - 334 Robinson Ave","","Yes","1"
"39-5-23","47-49 LIBERTY ST - 47-49 Liberty St","","Yes","5"
"39-5-26","41 LIBERTY ST - 41 Liberty St","","Yes","1"
"39-5-32","126 S WILLIAM ST - 126 S William St","","Yes","3"
"4-10-25","508 LIBERTY ST - 508 Liberty St","","Yes","3"
"4-10-30","520 LIBERTY ST - 520 Liberty St","","Yes","1"
"4-10-4","70 LEROY PL - 70 Leroy Pl","","Yes","1"
"43-1-18","128 ROBINSON AVE - 128 S Robinson Ave","","Yes","6"
"43-1-19","146 S ROBINSON AVE - 146 S Robinson Ave","","Yes","3"
"44-2-7","193 S WILLIAM ST - 193 S William St","","Yes","2"
"44-3-29","216 RENWICK ST - 216 Renwick St","","Yes","2"
"44-5-20","202 OVERLOOK PL - 202 Overlook Pl","","Yes","1"
"45-10-11","136 S CLARK ST - 136 S Clark St","","Yes","3"
"45-10-8","177 RENWICK ST - 177 Renwick St","","Yes","1"
"45-1-13","103 WILLIAM ST - 103 William St","","Yes","4"
"45-12-13.1","123 RENWICK ST - 123 Renwick St","","Yes","4"
"45-12-22","96 CARSON AVE - 96 Carson Ave","","Yes","1"
"45-13-23","142 RENWICK ST - 142 Renwick St","","Yes","2"
"45-13-25","8 LITTLE MONUMENT ST - 8 Little Monument St","","Yes","1"
"45-14-11","146 RENWICK ST - 146 Renwick St","","Yes","2"
"45-14-16","172 RENWICK ST - 172 Renwick St","","Yes","1"
"45-1-6","84 BENKARD AVE - 84 Benkard Ave","","Yes","5"
"45-3-18","56 BENKARD AVE - 56 Benkard Ave","","Yes","1"
"45-4-1","129 S WILLIAM ST - 129 S William St","","Yes","1"
"45-4-11","22 BENKARD AVE - 22 Benkard Ave","","Yes","5"
"45-5-18","1 LIBERTY ST - 1 Liberty St","","Yes","1"
"45-5-27","116 RENWICK ST - 116 Renwick St","","Yes","1"
"45-6-14","5 LIBERTY ST WH - 5 Liberty St Wh","","Yes","5"
"45-6-26","58 CARSON AVE - 58 Carson Ave","","Yes","1"
"45-7-1","71 CARSON AVE - 71 Carson Ave","","Yes","2"
"45-7-19","27 LIBERTY ST WH - 27 Liberty St Wh","","Yes","1"
"45-7-7","59 CARSON AVE - 59 Carson Ave","","Yes","2"
"45-8-8","91 CARSON AVE - 91 Carson Ave","","Yes","3"
"46-1-21","8 LIBERTY ST - 8 Liberty St","","Yes","2"
"46-1-26","18 LIBERTY ST - 18 Liberty St","","Yes","2"
"46-1-27","20 LIBERTY ST - 20 Liberty St","","Yes","1"
"46-1-31","36 LIBERTY ST - 36 Liberty St","","Yes","2"
"46-5-21","9 CARSON AVE - 9 Carson Ave","","Yes","1"
"46-5-23","14 LIBERTY ST WH - 14 Liberty St Wh","","Yes","2"
"48-11-10","51 COURTNEY AVE - 51 Courtney Ave","","Yes","2"
"48-11-21","54 HENRY AVE - 54 Henry Ave","","Yes","1"
"48-1-14","75 OVERLOOK PL - 75 Overlook Pl","","Yes","1"
"48-12-11","73 COURTNEY AVE - 73 Courtney Ave","","Yes","1"
"48-12-17","74 HENRY AVE - 74 Henry Ave","","Yes","1"
"48-12-18.1","76 HENRY AVE - 76 Henry Ave","","Yes","2"
"48-12-24","88 HENRY AVE - 88 Henry Ave","","Yes","1"
"48-2-14","47 LIBERTY ST WH - 47 Liberty St Wh","","Yes","14"
"48-3-15","8 BAY VIEW TER - 8 Bay View Ter","","Yes","1"
"48-4-28","54 LIBERTY ST WH - 54 Liberty St Wh","","Yes","2"
"48-5-29","82 LIBERTY ST WH - 82 Liberty St Wh","","Yes","1"
"48-6-1","69 BEACON ST - 69 Beacon St","","Yes","3"
"48-6-11","95 LIBERTY ST WH - 95 Liberty St Wh","","Yes","1"
"48-6-9","43 BEACON ST - 43 Beacon St","","Yes","2"
"48-9-18","90 BEACON ST - 90 Beacon St","","Yes","5"
"4-9-1","420 GRAND ST - 420 Grand St","","Yes","3"
"7-11-17.1","34 A ROE ST - 34 A Roe St","","Yes","8"
"7-1-4.1","293 ROBINSON AVE - 293 Robinson Ave","","Yes","7"
"7-2-14","192 GIDNEY AVE - 192 Gidney Ave","","Yes","1"
"7-2-17","184 GIDNEY AVE - 184 Gidney Ave","","Yes","4"
"7-2-18","180 GIDNEY AVE - 180 Gidney Ave","","Yes","6"
"7-2-34","16 MANDIGO PL - 16 Mandigo Pl","","Yes","1"
"7-2-52","277 CARPENTER AVE - 277 Carpenter Ave","","Yes","1"
"7-7-20","251 POWELL AVE - 251 Powell Ave","","Yes","3"
"7-9-9","231 ROBINSON AVE - 231 Robinson Ave","","Yes","1"
"8-1-5","88 GIDNEY AVE - 88 Gidney Ave","","Yes","5"
"9-2-21","350 GRAND ST - 350 Grand St","","Yes","3"
"9-3-12","12 FORSYTHE PL - 12 Forsythe Pl","","Yes","2"
"9-3-13","10 FORSYTHE PL - 10 Forsythe Pl","","Yes","3"
